Page 1: P72572A (bbox: (36.20020294189453, 770.0149536132812, 110.38021087646484, 794.054931640625), font: MyriadPro-Regular, size: 20.0)
Page 20: C (bbox: (115.5198974609375, 143.71702575683594, 125.08390045166016, 158.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 20: force (bbox: (125.08390045166016, 144.16102600097656, 159.57180786132812, 158.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 20:  (bbox: (98.19180297851562, 167.71702575683594, 100.61580657958984, 182.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 20: D (bbox: (115.5198974609375, 167.71702575683594, 126.29590606689453, 182.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 20: weight (bbox: (126.29590606689453, 168.16102600097656, 169.33978271484375, 182.58502197265625), font: MyriadPro-Regular, size: 12.0)
Page 20:  (bbox: (42.511802673339844, 211.98500061035156, 45.05580139160156, 226.40899658203125), font: MyriadPro-Regular, size: 12.0)
Page 20: (b)	 A student has some cupcake cases. (bbox: (59.899803161621094, 211.98500061035156, 254.58779907226562, 226.40899658203125), font: MyriadPro-Regular, size: 12.0)
Page 20:  (bbox: (42.511802673339844, 235.9610137939453, 45.05580139160156, 250.385009765625), font: MyriadPro-Regular, size: 12.0)
Page 20: One cupcake case is shown in Figure 14. (bbox: (73.50779724121094, 235.9610137939453, 280.1226806640625, 250.385009765625), font: MyriadPro-Regular, size: 12.0)
Page 20: (Source: © Anton Starikov/Shutterstock) (bbox: (324.66912841796875, 393.87664794921875, 490.3879699707031, 405.8966369628906), font: MyriadPro-Regular, size: 10.0)
Page 20: Figure 14 (bbox: (272.6715087890625, 415.9066162109375, 322.6034851074219, 430.7746276855469), font: MyriadPro-Bold, size: 12.0)
Page 20:  (bbox: (42.52349853515625, 444.5746154785156, 45.06749725341797, 458.9986267089844), font: MyriadPro-Regular, size: 12.0)
Page 20: The student drops a stack of cupcake cases with the base facing downwards, (bbox: (73.51950073242188, 444.5746154785156, 465.1278076171875, 458.9986267089844), font: MyriadPro-Regular, size: 12.0)
Page 20: as shown in Figure 15. (bbox: (79.37549591064453, 458.57861328125, 190.2458953857422, 473.00262451171875), font: MyriadPro-Regular, size: 12.0)
Page 20: (Source: © Elena Schweitzer/Shutterstock) (bbox: (316.19940185546875, 585.2623901367188, 490.3892517089844, 597.2824096679688), font: MyriadPro-Regular, size: 10.0)
Page 20: Figure 15 (bbox: (272.6715087890625, 605.8184204101562, 322.6034851074219, 620.6864013671875), font: MyriadPro-Bold, size: 12.0)
Page 20:  (bbox: (42.52349853515625, 634.4863891601562, 45.06749725341797, 648.910400390625), font: MyriadPro-Regular, size: 12.0)
Page 20: The speed of the falling stack of cupcake cases depends on the number of (bbox: (73.51950073242188, 634.4863891601562, 452.77978515625, 648.910400390625), font: MyriadPro-Regular, size: 12.0)
Page 20: cupcake cases in the stack. (bbox: (79.37550354003906, 648.4904174804688, 213.1274871826172, 662.9144287109375), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (60.94389343261719, 59.9379997253418, 63.487892150878906, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 21: (i)	 The student also has a stop clock and a metre rule. (bbox: (80.89510345458984, 59.9379997253418, 350.330078125, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (42.51909637451172, 83.91401672363281, 45.06309509277344, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (60.93909454345703, 83.91401672363281, 63.48309326171875, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 21: Describe an investigation to show how the speed of the falling stack of (bbox: (90.50709533691406, 83.91401672363281, 454.82745361328125, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 21: cupcake cases depends on the number of cupcake cases in the stack. (bbox: (97.79109954833984, 97.91804504394531, 443.23541259765625, 112.342041015625), font: MyriadPro-Regular, size: 12.0)
Page 21: (4) (bbox: (495.79510498046875, 111.47807312011719, 510.23114013671875, 126.3460693359375), font: MyriadPro-Bold, size: 12.0)
Page 21:  (bbox: (42.51909637451172, 365.4750061035156, 45.06309509277344, 379.8990173339844), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (60.94389343261719, 365.4750061035156, 63.487892150878906, 379.8990173339844), font: MyriadPro-Regular, size: 12.0)
Page 21: (ii)	 A stack of cupcake cases has a mass of 0.005 kg. (bbox: (78.08709716796875, 365.4750061035156, 335.8231201171875, 379.8990173339844), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (42.507102966308594, 389.4510192871094, 45.05110168457031, 403.8750305175781), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (60.927101135253906, 389.4510192871094, 63.471099853515625, 403.8750305175781), font: MyriadPro-Regular, size: 12.0)
Page 21: Calculate the weight, in newtons, of the stack of cupcake cases. (bbox: (90.4950942993164, 389.4510192871094, 413.82342529296875, 403.8750305175781), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (42.507102966308594, 413.427001953125, 45.05110168457031, 427.85101318359375), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (60.927101135253906, 413.427001953125, 63.471099853515625, 427.85101318359375), font: MyriadPro-Regular, size: 12.0)
Page 21: Gravitational field strength = 10 N / kg (bbox: (90.4950942993164, 413.427001953125, 285.98712158203125, 427.85101318359375), font: MyriadPro-Regular, size: 12.0)
Page 21: (2) (bbox: (495.79510498046875, 426.98699951171875, 510.23114013671875, 441.8550109863281), font: MyriadPro-Bold, size: 12.0)
Page 21:  (bbox: (42.51909637451172, 451.4070129394531, 45.06309509277344, 465.8310241699219), font: MyriadPro-Regular, size: 12.0)
Page 21:  (bbox: (60.93909454345703, 451.4070129394531, 63.48309326171875, 465.8310241699219), font: MyriadPro-Regular, size: 12.0)
Page 21: Use the equation (bbox: (90.50709533691406, 451.4070129394531, 183.62710571289062, 465.8310241699219), font: MyriadPro-Regular, size: 12.0)
Page 21: W (bbox: (278.547119140625, 475.7790222167969, 288.4951171875, 490.21502685546875), font: MyriadPro-It, size: 12.0)
Page 21: = (bbox: (288.4951171875, 475.791015625, 300.735107421875, 490.21502685546875), font: MyriadPro-Regular, size: 12.0)
Page 21: mg (bbox: (300.735107421875, 475.7790222167969, 316.7191467285156, 490.21502685546875), font: MyriadPro-It, size: 12.0)
Page 21: weight = (bbox: (380.2830810546875, 574.31103515625, 427.59918212890625, 588.7350463867188), font: MyriadPro-Regular, size: 12.0)
Page 22:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 22: Figure 16 shows a cupcake case that is falling at a constant velocity. (bbox: (73.51869201660156, 59.9379997253418, 416.642333984375, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 22: cupcake case (bbox: (343.7996826171875, 118.26124572753906, 410.1357116699219, 132.68524169921875), font: MyriadPro-Regular, size: 12.0)
Page 22: weight (bbox: (229.97972106933594, 206.53321838378906, 264.8037414550781, 220.95721435546875), font: MyriadPro-Regular, size: 12.0)
Page 22: Figure 16 (bbox: (272.6715087890625, 244.46495056152344, 322.6034851074219, 259.33294677734375), font: MyriadPro-Bold, size: 12.0)
Page 22:  (bbox: (42.52349853515625, 273.1329345703125, 45.06749725341797, 287.55694580078125), font: MyriadPro-Regular, size: 12.0)
Page 22:  (bbox: (60.94349670410156, 273.1329345703125, 63.48749542236328, 287.55694580078125), font: MyriadPro-Regular, size: 12.0)
Page 22: (iii)	 Draw an arrow on Figure 16 to show the force due to air resistance on the (bbox: (75.28350067138672, 273.1329345703125, 468.11712646484375, 287.55694580078125), font: MyriadPro-Regular, size: 12.0)
Page 22: cupcake case. (bbox: (97.79549407958984, 287.136962890625, 166.4702911376953, 301.56097412109375), font: MyriadPro-Regular, size: 12.0)
Page 22: (1) (bbox: (495.79949951171875, 300.6969909667969, 510.23553466796875, 315.56500244140625), font: MyriadPro-Bold, size: 12.0)
Page 22:  (bbox: (42.52349853515625, 325.11688232421875, 45.06749725341797, 339.5408935546875), font: MyriadPro-Regular, size: 12.0)
Page 22:  (bbox: (60.94349670410156, 325.11688232421875, 63.48749542236328, 339.5408935546875), font: MyriadPro-Regular, size: 12.0)
Page 22: (iv)	 State the value of the acceleration of the cupcake case when it is falling at a (bbox: (75.12750244140625, 325.11688232421875, 478.3974609375, 339.54095458984375), font: MyriadPro-Regular, size: 12.0)
Page 22: constant velocity (bbox: (97.79550170898438, 339.1209716796875, 183.23431396484375, 353.54498291015625), font: MyriadPro-Regular, size: 12.0)
Page 22: (1) (bbox: (495.79949951171875, 352.68096923828125, 510.23553466796875, 367.5489807128906), font: MyriadPro-Bold, size: 12.0)
Page 22:  (bbox: (42.51909637451172, 409.4632263183594, 45.06309509277344, 423.8872375488281), font: MyriadPro-Regular, size: 12.0)
Page 22: (c)	 A car travels along a straight road. (bbox: (61.323097229003906, 409.4632263183594, 249.48312377929688, 423.8872375488281), font: MyriadPro-Regular, size: 12.0)
Page 22:  (bbox: (42.51909637451172, 433.439208984375, 45.06309509277344, 447.86322021484375), font: MyriadPro-Regular, size: 12.0)
Page 22: The car accelerates at 3 m / s (bbox: (73.51509094238281, 433.439208984375, 218.95509338378906, 447.8632507324219), font: MyriadPro-Regular, size: 12.0)
Page 22: 2 (bbox: (218.94940185546875, 432.804931640625, 222.53834533691406, 441.214111328125), font: MyriadPro-Regular, size: 6.995999813079834)
Page 22: for a time of 7 s. (bbox: (222.53829956054688, 433.44110107421875, 303.82635498046875, 447.8651123046875), font: MyriadPro-Regular, size: 12.0)
Page 22:  (bbox: (42.52629852294922, 457.4171142578125, 45.07029724121094, 471.84112548828125), font: MyriadPro-Regular, size: 12.0)
Page 22: Calculate the change in velocity of the car. (bbox: (73.52229309082031, 457.4171142578125, 290.8880615234375, 471.84112548828125), font: MyriadPro-Regular, size: 12.0)
Page 22:  (bbox: (42.52629852294922, 481.3930969238281, 45.07029724121094, 495.8171081542969), font: MyriadPro-Regular, size: 12.0)
Page 22: Use the equation (bbox: (73.52229309082031, 481.3930969238281, 165.21429443359375, 495.8171081542969), font: MyriadPro-Regular, size: 12.0)
Page 22: change in velocity = acceleration × time taken (bbox: (182.89028930664062, 505.76507568359375, 412.4000549316406, 520.1890869140625), font: MyriadPro-Regular, size: 12.0)
Page 22: (2) (bbox: (495.80230712890625, 519.3251342773438, 510.23834228515625, 534.193115234375), font: MyriadPro-Bold, size: 12.0)
Page 22: change in velocity = (bbox: (309.874267578125, 617.9411010742188, 413.62646484375, 632.3651123046875), font: MyriadPro-Regular, size: 12.0)
Page 22: .............................................................. (bbox: (413.88262939453125, 623.6602172851562, 527.486572265625, 630.8721923828125), font: MyriadPro-Regular, size: 6.0)
Page 22: (Total for Question 8 = 11 marks) (bbox: (335.54339599609375, 641.480224609375, 510.22412109375, 656.3482055664062), font: MyriadPro-Bold, size: 12.0)
Page 23: 9 (bbox: (42.51909637451172, 59.49399948120117, 49.17909622192383, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 23: (a)	 Figure 17 shows a football kicked against a wall. (bbox: (49.179100036621094, 59.9379997253418, 318.78204345703125, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 23: solid wall (bbox: (401.484619140625, 134.6038360595703, 448.2606506347656, 149.02783203125), font: MyriadPro-Regular, size: 12.0)
Page 23: football (bbox: (265.9686279296875, 195.26380920410156, 304.7406311035156, 209.68780517578125), font: MyriadPro-Regular, size: 12.0)
Page 23: Figure 17 (bbox: (272.67156982421875, 219.1951141357422, 322.6036071777344, 234.0631103515625), font: MyriadPro-Bold, size: 12.0)
Page 23:  (bbox: (42.523597717285156, 243.5551300048828, 45.067596435546875, 257.9791259765625), font: MyriadPro-Regular, size: 12.0)
Page 23: The football has a mass of 0.42 kg. (bbox: (73.51959228515625, 243.5551300048828, 248.94760131835938, 257.9791259765625), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (42.523597717285156, 267.5311279296875, 45.067596435546875, 281.95513916015625), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (60.94359588623047, 267.5311279296875, 63.48759460449219, 281.95513916015625), font: MyriadPro-Regular, size: 12.0)
Page 23: (i)	 The football gains 11 J of gravitational potential energy as it moves from the (bbox: (80.89959716796875, 267.5311279296875, 480.3907470703125, 281.95513916015625), font: MyriadPro-Regular, size: 12.0)
Page 23: ground to the wall. (bbox: (97.79559326171875, 281.53515625, 192.97958374023438, 295.95916748046875), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (42.523597717285156, 305.5111083984375, 45.067596435546875, 319.93511962890625), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (60.94359588623047, 305.5111083984375, 63.48759460449219, 319.93511962890625), font: MyriadPro-Regular, size: 12.0)
Page 23: Calculate the height at which the ball hits the wall. (bbox: (90.51158142089844, 305.5111083984375, 350.7318115234375, 319.93511962890625), font: MyriadPro-Regular, size: 12.0)
Page 23: (3) (bbox: (495.79962158203125, 319.0711364746094, 510.23565673828125, 333.93914794921875), font: MyriadPro-Bold, size: 12.0)
Page 23:  (bbox: (42.523597717285156, 343.4910888671875, 45.067596435546875, 357.91510009765625), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (60.94359588623047, 343.4910888671875, 63.48759460449219, 357.91510009765625), font: MyriadPro-Regular, size: 12.0)
Page 23: Gravitational field strength = 10 N / kg (bbox: (90.51158142089844, 343.4910888671875, 286.00360107421875, 357.91510009765625), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (42.523597717285156, 367.46710205078125, 45.067596435546875, 381.89111328125), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (60.94359588623047, 367.46710205078125, 63.48759460449219, 381.89111328125), font: MyriadPro-Regular, size: 12.0)
Page 23: Use the equation (bbox: (90.51158142089844, 367.46710205078125, 186.17559814453125, 381.89111328125), font: MyriadPro-Regular, size: 12.0)
Page 23: ∆ (bbox: (251.1436004638672, 390.79510498046875, 258.48760986328125, 406.9591064453125), font: TimesNewRomanPSMT, size: 12.0)
Page 23: GPE (bbox: (258.48760986328125, 391.839111328125, 277.6876220703125, 406.2751159667969), font: MyriadPro-It, size: 12.0)
Page 23: = (bbox: (277.6876220703125, 391.8511047363281, 289.92767333984375, 406.2751159667969), font: MyriadPro-Regular, size: 12.0)
Page 23: m (bbox: (289.92767333984375, 391.839111328125, 299.6236877441406, 406.2751159667969), font: MyriadPro-It, size: 12.0)
Page 23: × (bbox: (299.6236572265625, 391.8511047363281, 311.86370849609375, 406.2751159667969), font: MyriadPro-Regular, size: 12.0)
Page 23: g (bbox: (311.86370849609375, 391.839111328125, 318.1517028808594, 406.2751159667969), font: MyriadPro-It, size: 12.0)
Page 23: × (bbox: (318.15167236328125, 391.8511047363281, 330.3917236328125, 406.2751159667969), font: MyriadPro-Regular, size: 12.0)
Page 23: ∆ (bbox: (330.3917236328125, 390.79510498046875, 337.7357177734375, 406.9591064453125), font: TimesNewRomanPSMT, size: 12.0)
Page 23: h (bbox: (337.7357177734375, 391.839111328125, 344.1437072753906, 406.2751159667969), font: MyriadPro-It, size: 12.0)
Page 23: height = (bbox: (380.2396240234375, 533.4151000976562, 425.503662109375, 547.839111328125), font: MyriadPro-Regular, size: 12.0)
Page 23: .............................................................. (bbox: (425.75042724609375, 539.1212768554688, 539.3541870117188, 546.333251953125), font: MyriadPro-Regular, size: 6.0)
Page 23:  (bbox: (42.525001525878906, 561.585205078125, 45.069000244140625, 576.0092163085938), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (60.94499969482422, 561.585205078125, 63.48899841308594, 576.0092163085938), font: MyriadPro-Regular, size: 12.0)
Page 23: (ii)	 Calculate the kinetic energy of the football when it is moving at a velocity (bbox: (78.09300231933594, 561.585205078125, 468.597412109375, 576.0092163085938), font: MyriadPro-Regular, size: 12.0)
Page 23: of 12 m / s. (bbox: (97.79701232910156, 575.5891723632812, 148.72503662109375, 590.01318359375), font: MyriadPro-Regular, size: 12.0)
Page 23: (2) (bbox: (495.80108642578125, 589.1492309570312, 510.23712158203125, 604.0172119140625), font: MyriadPro-Bold, size: 12.0)
Page 23:  (bbox: (42.525001525878906, 613.5692138671875, 45.069000244140625, 627.9932250976562), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (60.94499969482422, 613.5692138671875, 63.48899841308594, 627.9932250976562), font: MyriadPro-Regular, size: 12.0)
Page 23: Use the equation (bbox: (90.51304626464844, 613.5692138671875, 186.17703247070312, 627.9932250976562), font: MyriadPro-Regular, size: 12.0)
Page 23: KE (bbox: (258.50103759765625, 645.88525390625, 270.321044921875, 660.3212280273438), font: MyriadPro-It, size: 12.0)
Page 23: = (bbox: (270.321044921875, 645.897216796875, 282.56103515625, 660.3212280273438), font: MyriadPro-Regular, size: 12.0)
Page 23: 1 (bbox: (285.398681640625, 637.1882934570312, 291.5546875, 651.6123046875), font: MyriadPro-Regular, size: 12.0)
Page 23: 2 (bbox: (284.92999267578125, 654.5007934570312, 291.08599853515625, 668.9248046875), font: MyriadPro-Regular, size: 12.0)
Page 23:  (bbox: (291.08599853515625, 645.8967895507812, 293.5579833984375, 668.9248046875), font: MyriadPro-Regular, size: 12.0)
Page 23: × (bbox: (293.5579833984375, 645.8967895507812, 305.79803466796875, 660.32080078125), font: MyriadPro-Regular, size: 12.0)
Page 23: m (bbox: (305.79803466796875, 645.8848266601562, 315.4940490722656, 660.32080078125), font: MyriadPro-It, size: 12.0)
Page 23: × (bbox: (315.4940185546875, 645.8967895507812, 327.73406982421875, 660.32080078125), font: MyriadPro-Regular, size: 12.0)
Page 23: v (bbox: (327.73406982421875, 645.8848266601562, 333.1940612792969, 660.32080078125), font: MyriadPro-It, size: 12.0)
Page 23: 2 (bbox: (333.190185546875, 645.2548828125, 336.7791442871094, 653.6641235351562), font: MyriadPro-Regular, size: 6.995999813079834)
Page 23: kinetic energy = (bbox: (347.43267822265625, 750.5997924804688, 431.05963134765625, 765.0238037109375), font: MyriadPro-Regular, size: 12.0)
Page 24:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 24:  (bbox: (60.94389343261719, 59.9379997253418, 63.487892150878906, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 24: (iii)	 Describe the energy transfers that happen when the ball hits the wall. (bbox: (75.27909851074219, 59.9379997253418, 446.5570068359375, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 24: (2) (bbox: (495.79510498046875, 73.49803161621094, 510.23114013671875, 88.36602783203125), font: MyriadPro-Bold, size: 12.0)
Page 24:  (bbox: (42.51909637451172, 214.8041534423828, 45.06309509277344, 229.2281494140625), font: MyriadPro-Regular, size: 12.0)
Page 24: *(b)	 In the UK, electricity is generated using non‑renewable and renewable (bbox: (54.927101135253906, 214.8041534423828, 434.41510009765625, 229.2281494140625), font: MyriadPro-Regular, size: 12.0)
Page 24: energy resources. (bbox: (79.37107849121094, 228.8081817626953, 167.03225708007812, 243.232177734375), font: MyriadPro-Regular, size: 12.0)
Page 24:  (bbox: (42.51909637451172, 252.7841339111328, 45.06309509277344, 267.2081298828125), font: MyriadPro-Regular, size: 12.0)
Page 24: The graph in Figure 18 shows how the amount of electricity generated by these (bbox: (73.51509094238281, 252.7841339111328, 480.11029052734375, 267.2081298828125), font: MyriadPro-Regular, size: 12.0)
Page 24: resources changed from 2012 to 2020. (bbox: (79.37108612060547, 266.78814697265625, 271.0867919921875, 281.212158203125), font: MyriadPro-Regular, size: 12.0)
Page 24: Key (bbox: (428.1630859375, 344.9201354980469, 447.8670654296875, 359.78814697265625), font: MyriadPro-Bold, size: 12.0)
Page 24: non‑renewable (bbox: (456.49627685546875, 364.3522033691406, 538.1563110351562, 378.7762145996094), font: MyriadPro-Regular, size: 12.0)
Page 24: resources (bbox: (459.29229736328125, 411.3451232910156, 506.932373046875, 425.7691345214844), font: MyriadPro-Regular, size: 12.0)
Page 24: 2020 (bbox: (370.69439697265625, 476.43011474609375, 395.31842041015625, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2019 (bbox: (342.3504638671875, 476.43011474609375, 366.9744873046875, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2018 (bbox: (314.0064697265625, 476.43011474609375, 338.6304931640625, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2017 (bbox: (285.6624755859375, 476.43011474609375, 310.2864990234375, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2016 (bbox: (257.3184814453125, 476.43011474609375, 281.9425048828125, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2015 (bbox: (228.97447204589844, 476.43011474609375, 253.59849548339844, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2014 (bbox: (200.6304931640625, 476.43011474609375, 225.2545166015625, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2013 (bbox: (172.28651428222656, 476.43011474609375, 196.91053771972656, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: 2012 (bbox: (143.94253540039062, 476.43011474609375, 168.56655883789062, 490.8541259765625), font: MyriadPro-Regular, size: 12.0)
Page 24: time in years from 2012 to 2020 (bbox: (190.50241088867188, 500.2021179199219, 349.19061279296875, 514.6260986328125), font: MyriadPro-Regular, size: 12.0)
Page 24: 30 (bbox: (135.29042053222656, 292.35009765625, 147.60243225097656, 306.77410888671875), font: MyriadPro-Regular, size: 12.0)
Page 24: 25 (bbox: (135.29042053222656, 320.68212890625, 147.60243225097656, 335.10614013671875), font: MyriadPro-Regular, size: 12.0)
Page 24: 20 (bbox: (135.29042053222656, 349.0141296386719, 147.60243225097656, 363.4381408691406), font: MyriadPro-Regular, size: 12.0)
Page 24: 15 (bbox: (135.29042053222656, 377.34613037109375, 147.60243225097656, 391.7701416015625), font: MyriadPro-Regular, size: 12.0)
Page 24: 10 (bbox: (135.29042053222656, 405.6781311035156, 147.60243225097656, 420.1021423339844), font: MyriadPro-Regular, size: 12.0)
Page 24: 5 (bbox: (141.44642639160156, 434.0101318359375, 147.60243225097656, 448.43414306640625), font: MyriadPro-Regular, size: 12.0)
Page 24: 0 (bbox: (141.44642639160156, 462.3421325683594, 147.60243225097656, 476.7661437988281), font: MyriadPro-Regular, size: 12.0)
Page 24: electricity (bbox: (42.66242218017578, 363.3421325683594, 94.26122283935547, 377.7661437988281), font: MyriadPro-Regular, size: 12.0)
Page 24: generated in (bbox: (42.66242218017578, 377.34613037109375, 109.1424331665039, 391.7701416015625), font: MyriadPro-Regular, size: 12.0)
Page 24: terawatt hours (bbox: (42.66242218017578, 391.3501281738281, 115.92242431640625, 405.7741394042969), font: MyriadPro-Regular, size: 12.0)
Page 24: Figure 18 (bbox: (272.6904296875, 524.1301879882812, 322.6224670410156, 538.9981689453125), font: MyriadPro-Bold, size: 12.0)
Page 25:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 25: Explain how and why the amount of electricity generated by renewable and non- (bbox: (73.51869201660156, 59.9379997253418, 486.4570007324219, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 25: renewable energy resources has changed from 2012 to 2020. (bbox: (79.37109375, 73.94203186035156, 384.267333984375, 88.36602783203125), font: MyriadPro-Regular, size: 12.0)
Page 25:  (bbox: (42.51909637451172, 97.91804504394531, 45.06309509277344, 112.342041015625), font: MyriadPro-Regular, size: 12.0)
Page 25: Your answer should include (bbox: (73.51509094238281, 97.91798400878906, 217.5871124267578, 112.342041015625), font: MyriadPro-Regular, size: 12.0)
Page 25: • (bbox: (79.37110137939453, 121.89399719238281, 85.2990951538086, 136.3179931640625), font: MyriadPro-Regular, size: 12.0)
Page 25: the trends shown in Figure 18 (bbox: (97.79109954833984, 121.89399719238281, 247.04713439941406, 136.3179931640625), font: MyriadPro-Regular, size: 12.0)
Page 25: • (bbox: (79.37108612060547, 145.87001037597656, 85.2990951538086, 160.29400634765625), font: MyriadPro-Regular, size: 12.0)
Page 25: the change in the amount of electricity generated by at least one (bbox: (97.79109954833984, 145.87001037597656, 426.15814208984375, 160.29400634765625), font: MyriadPro-Regular, size: 12.0)
Page 25: renewable resource (bbox: (97.79109191894531, 159.87403869628906, 196.2042694091797, 174.29803466796875), font: MyriadPro-Regular, size: 12.0)
Page 25: • (bbox: (79.37109375, 183.8500518798828, 85.2990951538086, 198.2740478515625), font: MyriadPro-Regular, size: 12.0)
Page 25: the change in the amount of electricity generated by at least one (bbox: (97.79109954833984, 183.84999084472656, 426.15814208984375, 198.2740478515625), font: MyriadPro-Regular, size: 12.0)
Page 25: non‑renewable resource. (bbox: (97.79109191894531, 197.85401916503906, 222.1338653564453, 212.27801513671875), font: MyriadPro-Regular, size: 12.0)
Page 25: (6) (bbox: (495.79510498046875, 211.41404724121094, 510.23114013671875, 226.28204345703125), font: MyriadPro-Bold, size: 12.0)
Page 25: (Total for Question 9 = 13 marks) (bbox: (335.539794921875, 629.8089599609375, 510.22271728515625, 644.6769409179688), font: MyriadPro-Bold, size: 12.0)
Page 26: BLANK PAGE (bbox: (262.772216796875, 416.4940185546875, 332.5018615722656, 431.3620300292969), font: MyriadPro-Bold, size: 12.0)
Page 27: 10 (bbox: (42.51909637451172, 59.49399948120117, 55.83909225463867, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 27: (a)	 Figure 19 shows two objects, (bbox: (55.83909606933594, 59.9379997253418, 226.6471405029297, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 27: E (bbox: (226.89913940429688, 59.49399948120117, 233.30714416503906, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 27: and (bbox: (233.30714416503906, 59.9379997253418, 257.8591613769531, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 27: D (bbox: (258.1112060546875, 59.49399948120117, 266.46319580078125, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 27: . (bbox: (266.46319580078125, 59.9379997253418, 268.94720458984375, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 27: D (bbox: (194.99620056152344, 94.96495056152344, 203.34820556640625, 109.83294677734375), font: MyriadPro-Bold, size: 12.0)
Page 27: E (bbox: (342.044189453125, 94.96495056152344, 348.4521789550781, 109.83294677734375), font: MyriadPro-Bold, size: 12.0)
Page 27: Figure 19 (bbox: (272.67218017578125, 119.33695983886719, 322.6042175292969, 134.2049560546875), font: MyriadPro-Bold, size: 12.0)
Page 27:  (bbox: (42.524200439453125, 148.00489807128906, 45.068199157714844, 162.42889404296875), font: MyriadPro-Regular, size: 12.0)
Page 27:  (bbox: (73.52020263671875, 148.00489807128906, 76.06420135498047, 162.42889404296875), font: MyriadPro-Regular, size: 12.0)
Page 27: E (bbox: (76.06420135498047, 147.56089782714844, 85.78419494628906, 162.42889404296875), font: MyriadPro-Bold, size: 12.0)
Page 27: emits a sound. (bbox: (85.78419494628906, 148.00489807128906, 161.252197265625, 162.428955078125), font: MyriadPro-Regular, size: 12.0)
Page 27:  (bbox: (42.524200439453125, 171.9809112548828, 45.068199157714844, 186.4049072265625), font: MyriadPro-Regular, size: 12.0)
Page 27:  (bbox: (73.52020263671875, 171.9809112548828, 76.06420135498047, 186.4049072265625), font: MyriadPro-Regular, size: 12.0)
Page 27: D (bbox: (76.06420135498047, 171.5369110107422, 87.72819519042969, 186.4049072265625), font: MyriadPro-Bold, size: 12.0)
